Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6   38.843    6.474   42.963    7.161 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
      146    8.318    0.057    8.321    0.057 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:2313(is_unique)
        7    4.115    0.588    4.116    0.588 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:400(_inner_indexer)
       17    3.198    0.188    3.200    0.188 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2398(_factorize_keys)
       79    2.799    0.035    2.800    0.035 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:2229(is_monotonic_increasing)
      574    2.243    0.004    2.573    0.004 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
    19425    1.826    0.000    1.826    0.000 {built-in method _codecs.utf_8_decode}
      241    1.692    0.007    1.693    0.007 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
      608    1.442    0.002    1.442    0.002 {method 'copy' of 'numpy.ndarray' objects}
       13    1.334    0.103    1.766    0.136 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2246(_stack_arrays)
        1    1.237    1.237   68.399   68.399 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:43(__init__)
        1    1.036    1.036   54.892   54.892 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:106(setup_title2reg)
     1603    0.745    0.000    0.745    0.000 {built-in method numpy.empty}
        6    0.694    0.116   45.507    7.585 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
        6    0.549    0.091    2.245    0.374 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:355(_concatenate_chunks)
        7    0.485    0.069    0.485    0.069 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
   308106    0.294    0.000    0.294    0.000 {method 'split' of 'str' objects}
     8041    0.268    0.000    0.301    0.000 {built-in method builtins.sum}
       15    0.237    0.016    1.584    0.106 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1770(get_join_indexers_non_unique)
       11    0.237    0.022    0.262    0.024 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/algorithms.py:548(factorize_array)
      241    0.173    0.001    0.174    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:2744(inferred_type)
       34    0.158    0.005    0.251    0.007 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2276(_merge_blocks)
